provincia_nombre,tipo_norma,numero_norma,estado_vigencia,fecha,fecha_publicacion,nombre_norma,titulo_resumido,titulo_sumario,informacion_digesto,texto_actualizado,provincia_id
San Juan,Código Tributario,3908,"Vigente, de alcance general",1974-04-18,1974-06-12,LEY 3.908,Código Tributario de la provincia de San Juan,CODIGO TRIBUTARIO DE SAN JUAN-ORGANISMOS DEL ESTADO-DIRECCION GENERAL DE RENTAS-INTERPRETACION DE LA LEY-SUJETOS IMPONIBLES-DOMICILIO FISCAL-DEBERES FORMALES-OBLIGACION TRIBUTARIA-EXTINCION DE LA OBLIGACION TRIBUTARIA-PAGO DE TRIBUTOS-COMPENSACION...,,www.saij.gob.ar/LPJ0003908,70
Córdoba,Ley,1005,"Vigente, de alcance general",1885-10-31,,LEY 1.005,Código Rural de la Provincia de Córdoba.,ACTIVIDAD AGROPECUARIA-ACTIVIDADES ECONOMICAS-CODIGO RURAL,,www.saij.gob.ar/LPO0001005,14
Córdoba,Ley,1419,Derogada,1896-12-04,1897-01-01,Ley N. 1.419,,DEROGADA POR L.N° 8465 (B.O. 8/6/95)-CODIGO PROCESAL CIVIL Y COMERCIAL DE LA PROVINCIA.,,www.saij.gob.ar/LPO0001419,14
Entre Ríos,Ley,1509,"Vigente, de alcance general",1892-11-21,1892-11-28,LEY 1.509,CODIGO RURAL DE ENTRE RIOS,CODIGO RURAL DE ENTRE RIOS-ARRENDAMIENTOS Y APARCERIAS RURALES- PROPIEDAD RURAL-DESLINDE Y AMOJONAMIENTO-COLONIZACION-OCUPACION DE INMUEBLES-MEDIERIA,,www.saij.gob.ar/LPE0001509,30
Mendoza,Ley,18,Derogada,1896-10-27,1896-10-27,*LEY 18,,"NORMA DEROGADA POR ART. 77, LEY 3799 - LEY DE CONTABILIDAD.",,www.saij.gob.ar/LPM0000018,50
Buenos Aires,Ley,15611,"Vigente, de alcance general",2026-02-24,2026-03-26,LEY 15.611,Declaran  Personalidad Destacada de la Provincia  al señor Tomás Martín Etcheverry,PERSONALIDAD DESTACADA DEPORTES,,www.saij.gob.ar/LPB0015611,06
Buenos Aires,Ley,15612,"Vigente, de alcance general",2026-05-28,2026-06-22,LEY 15.612,Declaración de utilidad pública y expropiación de un inmueble ubicado en el partido de La Matanza,DECLARACION DE UTILIDAD PUBLICA-EXPROPIACION-INMUEBLES,,www.saij.gob.ar/LPB0015612,06
Buenos Aires,Ley,15613,"Vigente, de alcance general",2026-06-24,2026-07-21,LEY 15.613,Modifica el Decreto-Ley 16378/57 y Ley 13.927. Invitacion a adherirse a los municipios,PERSONAS CON DISCAPACIDAD TRANSPORTE PUBLICO DE PASAJEROS LENGUAJE INCLUSIVO LENGUAJE DE SEÑAS DIFICULTADES ESPECIFICAS DEL APRENDIZAJE PICTOGRAMAS DE ACCESIBILIDAD,,www.saij.gob.ar/LPB0015613,06
Buenos Aires,Ley,15614,"Vigente, de alcance general",2026-06-24,2026-07-21,LEY 15.614,"Instituyen el día 28 de julio de cada año como el Día Provincial de la Concientización, Sensibilización e Información sobre el Trastorno por Déficit de Atención con o sin Hiperactividad",CONMEMORACIONES CULTURA Y EDUCACION TRASTORNOS GENERALIZADOS DEL DESARROLLO TDA,,www.saij.gob.ar/LPB0015614,06
Buenos Aires,Ley,15615,"Vigente, de alcance general",2026-06-24,2026-07-21,LEY 15.615,"Creación del Registro Provincial de Datos Genéticos de Cadáveres o Restos Cadavéricos No Identificados, en el ámbito del Banco de Datos Genéticos",BANCO DE DATOS GENETICOS CADAVER IDENTIFICACION DE CADAVERES,,www.saij.gob.ar/LPB0015615,06
Buenos Aires,Ley,15616,"Vigente, de alcance general",2026-07-13,2026-07-30,LEY 15.616,Declaración de Ciudadanos llustres Post Mortem de la Provincia de Buenos Aires a los 32 combatientes ejecutados por la represión,RECONOCIMIENTO POST MORTEM DECLARACION DE CIUDADANO ILUSTRE HOMENAJES DISTINCIONES HONORIFICAS,,www.saij.gob.ar/LPB0015616,06
Catamarca,Constitución Provincial,0,"Vigente, de alcance general",1988-09-03,1988-09-07,CONSTITUCION PROVINCIAL,Constitución de la Provincia de Catamarca,DERECHO CONSTITUCIONAL-CONSTITUCION PROVINCIAL-CONVENCION CONSTITUYENTE PROVINCIAL-DERECHOS Y GARANTIAS CONSTITUCIONALES-PODER LEGISLATIVO- PODER EJECUTIVO-PODER JUDICIAL-JUICIO POLITICO-REGIMEN ELECTORAL- REGIMEN MUNICIPAL-REGIMEN CULTURAL Y...,,www.saij.gob.ar/LPK0000000,10
